model,domain,gamma,prompt_index,cluster_id,trial_index,trial_seed,acceptance_rate_pos2plus,mean_accepted_prefix,mean_accepted_beyond_first,emitted_tokens_per_round,rounds_per_100_tokens,verification_rounds,position_1_survival,decode_seconds
H8,WikiText-103 test OOD,8,34,16,3,10334122,0.30612244897959184,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11121536500013463
H8,WikiText-103 test OOD,8,35,16,0,10035122,0.2545454545454545,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.11408159599977807
H8,WikiText-103 test OOD,8,35,16,1,10135122,0.37777777777777777,3.125,2.125,4.0,25.0,8.0,1.0,0.10167365599954792
H8,WikiText-103 test OOD,8,35,16,2,10235122,0.3333333333333333,3.125,2.125,4.0,25.0,8.0,1.0,0.10403819300063333
H8,WikiText-103 test OOD,8,35,16,3,10335122,0.41304347826086957,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.09208830700026738
H8,WikiText-103 test OOD,8,36,17,0,10036122,0.2545454545454545,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.11541699699955643
H8,WikiText-103 test OOD,8,36,17,1,10136122,0.5384615384615384,4.5,3.5,5.333333333333333,18.75,6.0,1.0,0.08005873100046301
H8,WikiText-103 test OOD,8,36,17,2,10236122,0.3269230769230769,3.125,2.125,4.0,25.0,8.0,1.0,0.1047298960002081
H8,WikiText-103 test OOD,8,36,17,3,10336122,0.28846153846153844,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11441289799950027
H8,WikiText-103 test OOD,8,37,17,0,10037122,0.3541666666666667,3.125,2.125,4.0,25.0,8.0,1.0,0.10127198899954237
H8,WikiText-103 test OOD,8,37,17,1,10137122,0.3541666666666667,3.125,2.125,4.0,25.0,8.0,1.0,0.10287609599981806
H8,WikiText-103 test OOD,8,37,17,2,10237122,0.3541666666666667,3.125,2.125,4.0,25.0,8.0,1.0,0.10199318000013591
H8,WikiText-103 test OOD,8,37,17,3,10337122,0.19696969696969696,2.3,1.3,3.2,31.25,10.0,1.0,0.13067404699995677
H8,WikiText-103 test OOD,8,38,18,0,10038122,0.32,3.0,2.0,4.0,25.0,8.0,1.0,0.10470096399967588
H8,WikiText-103 test OOD,8,38,18,1,10138122,0.2459016393442623,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11767601700012165
H8,WikiText-103 test OOD,8,38,18,2,10238122,0.16417910447761194,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.135011631999987
H8,WikiText-103 test OOD,8,38,18,3,10338122,0.16923076923076924,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.13284766299966577
H8,WikiText-103 test OOD,8,39,18,0,10039122,0.4418604651162791,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.08933777299989742
H8,WikiText-103 test OOD,8,39,18,1,10139122,0.21666666666666667,2.3,1.3,3.2,31.25,10.0,1.0,0.12112036300004547
H8,WikiText-103 test OOD,8,39,18,2,10239122,0.3541666666666667,3.125,2.125,4.0,25.0,8.0,1.0,0.09782129599989275
H8,WikiText-103 test OOD,8,39,18,3,10339122,0.41304347826086957,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.0902988429998004
H8,WikiText-103 test OOD,8,40,19,0,10040122,0.16176470588235295,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.1337140140003612
H8,WikiText-103 test OOD,8,40,19,1,10140122,0.2542372881355932,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11209283500011225
H8,WikiText-103 test OOD,8,40,19,2,10240122,0.3469387755102041,3.125,2.125,4.0,25.0,8.0,1.0,0.10023717399963061
H8,WikiText-103 test OOD,8,40,19,3,10340122,0.6,4.5,3.5,5.333333333333333,18.75,6.0,1.0,0.0741630679995069
H8,WikiText-103 test OOD,8,41,19,0,10041122,0.08860759493670886,1.5384615384615385,0.5384615384615384,2.4615384615384617,40.625,13.0,1.0,0.15594153300025937
H8,WikiText-103 test OOD,8,41,19,1,10141122,0.12162162162162163,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.1477120230001674
H8,WikiText-103 test OOD,8,41,19,2,10241122,0.5526315789473685,4.5,3.5,5.333333333333333,18.75,6.0,1.0,0.07699892799973895
H8,WikiText-103 test OOD,8,41,19,3,10341122,0.30612244897959184,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.10711268300019583
H8,WikiText-103 test OOD,8,42,20,0,10042122,0.2962962962962963,3.0,2.0,4.0,25.0,8.0,1.0,0.10246232500048791
H8,WikiText-103 test OOD,8,42,20,1,10142122,0.4418604651162791,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.08785898100086342
H8,WikiText-103 test OOD,8,42,20,2,10242122,0.41304347826086957,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.08887745500032906
H8,WikiText-103 test OOD,8,42,20,3,10342122,0.4523809523809524,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.0873765779997484
H8,WikiText-103 test OOD,8,43,20,0,10043122,0.26785714285714285,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11132019399974524
H8,WikiText-103 test OOD,8,43,20,1,10143122,0.21311475409836064,2.3,1.3,3.2,31.25,10.0,1.0,0.12252590200023405
H8,WikiText-103 test OOD,8,43,20,2,10243122,0.28846153846153844,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.10886849899998197
H8,WikiText-103 test OOD,8,43,20,3,10343122,0.3541666666666667,3.125,2.125,4.0,25.0,8.0,1.0,0.09988643099950423
H8,WikiText-103 test OOD,8,44,20,0,10044122,0.25925925925925924,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.1096154340002613
H8,WikiText-103 test OOD,8,44,20,1,10144122,0.41304347826086957,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.08904245600024296
H8,WikiText-103 test OOD,8,44,20,2,10244122,0.19402985074626866,2.3,1.3,3.2,31.25,10.0,1.0,0.12817566900048405
H8,WikiText-103 test OOD,8,44,20,3,10344122,0.25,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.1129867909994573
H8,WikiText-103 test OOD,8,45,21,0,10045122,0.2222222222222222,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.11562427700027911
H8,WikiText-103 test OOD,8,45,21,1,10145122,0.3829787234042553,3.5714285714285716,2.5714285714285716,4.571428571428571,21.875,7.0,1.0,0.08996814799957065
H8,WikiText-103 test OOD,8,45,21,2,10245122,0.38636363636363635,3.125,2.125,4.0,25.0,8.0,1.0,0.09656918400014547
H8,WikiText-103 test OOD,8,45,21,3,10345122,0.12162162162162163,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.14682145099959598
H8,WikiText-103 test OOD,8,46,21,0,10046122,0.3137254901960784,3.0,2.0,4.0,25.0,8.0,1.0,0.10301027500008786
H8,WikiText-103 test OOD,8,46,21,1,10146122,0.171875,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.13201875499999005
H8,WikiText-103 test OOD,8,46,21,2,10246122,0.2777777777777778,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11002055300014035
H8,WikiText-103 test OOD,8,46,21,3,10346122,0.29411764705882354,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11065134000000398
H8,WikiText-103 test OOD,8,47,22,0,10047122,0.22950819672131148,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.11311728799955745
H8,WikiText-103 test OOD,8,47,22,1,10147122,0.34,3.125,2.125,4.0,25.0,8.0,1.0,0.09960207200037985
H8,WikiText-103 test OOD,8,47,22,2,10247122,0.2631578947368421,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11114187400016817
H8,WikiText-103 test OOD,8,47,22,3,10347122,0.15492957746478872,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.1361370499998884
H8,WikiText-103 test OOD,8,48,22,0,10048122,0.5833333333333334,4.5,3.5,5.333333333333333,18.75,6.0,1.0,0.07451505300014105
H8,WikiText-103 test OOD,8,48,22,1,10148122,0.2545454545454545,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.11249997799950506
H8,WikiText-103 test OOD,8,48,22,2,10248122,0.24074074074074073,2.3,1.3,3.2,31.25,10.0,1.0,0.11721192900040478
H8,WikiText-103 test OOD,8,48,22,3,10348122,0.18181818181818182,2.2,1.2,3.2,31.25,10.0,1.0,0.12523232600051415
H8,WikiText-103 test OOD,8,49,23,0,10049122,0.2777777777777778,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11052868500064505
H8,WikiText-103 test OOD,8,49,23,1,10149122,0.29411764705882354,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.10880934400029219
H8,WikiText-103 test OOD,8,49,23,2,10249122,0.28846153846153844,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.10723716600023181
H8,WikiText-103 test OOD,8,49,23,3,10349122,0.34,3.125,2.125,4.0,25.0,8.0,1.0,0.09888763900016784
H8,WikiText-103 test OOD,8,50,23,0,10050122,0.3953488372093023,3.125,2.125,4.0,25.0,8.0,1.0,0.09594901099990238
H8,WikiText-103 test OOD,8,50,23,1,10150122,0.6,4.5,3.5,5.333333333333333,18.75,6.0,1.0,0.07630771000003733
H8,WikiText-103 test OOD,8,50,23,2,10250122,0.2542372881355932,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11460874600015813
H8,WikiText-103 test OOD,8,50,23,3,10350122,0.21666666666666667,2.3,1.3,3.2,31.25,10.0,1.0,0.12095783299992036
H8,WikiText-103 test OOD,8,51,24,0,10051122,0.15714285714285714,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.13496423400010826
H8,WikiText-103 test OOD,8,51,24,1,10151122,0.3829787234042553,3.5714285714285716,2.5714285714285716,4.571428571428571,21.875,7.0,1.0,0.09112932300013199
H8,WikiText-103 test OOD,8,51,24,2,10251122,0.3076923076923077,3.0,2.0,4.0,25.0,8.0,1.0,0.10367495600075927
H8,WikiText-103 test OOD,8,51,24,3,10351122,0.2,2.3,1.3,3.2,31.25,10.0,1.0,0.12394709999989573
H8,WikiText-103 test OOD,8,52,24,0,10052122,0.4418604651162791,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.09152158300003066
H8,WikiText-103 test OOD,8,52,24,1,10152122,0.3333333333333333,3.125,2.125,4.0,25.0,8.0,1.0,0.10185053100030927
H8,WikiText-103 test OOD,8,52,24,2,10252122,0.4418604651162791,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.09113268799956131
H8,WikiText-103 test OOD,8,52,24,3,10352122,0.3469387755102041,3.125,2.125,4.0,25.0,8.0,1.0,0.10152987000037683
H8,WikiText-103 test OOD,8,53,25,0,10053122,0.17142857142857143,2.2,1.2,3.2,31.25,10.0,1.0,0.1279442699997162
H8,WikiText-103 test OOD,8,53,25,1,10153122,0.3695652173913043,3.125,2.125,4.0,25.0,8.0,1.0,0.09860956600005011
H8,WikiText-103 test OOD,8,53,25,2,10253122,0.23809523809523808,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11528430500038667
H8,WikiText-103 test OOD,8,53,25,3,10353122,0.40425531914893614,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.08953764399939246
H8,WikiText-103 test OOD,8,54,25,0,10054122,0.23809523809523808,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11554420199991
H8,WikiText-103 test OOD,8,54,25,1,10154122,0.16,2.0,1.0909090909090908,2.909090909090909,34.375,11.0,0.9090909090909091,0.13829385100052605
H8,WikiText-103 test OOD,8,54,25,2,10254122,0.2631578947368421,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11165651100054674
H8,WikiText-103 test OOD,8,54,25,3,10354122,0.475,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.08802209500026947
H8,WikiText-103 test OOD,8,55,26,0,10055122,0.3333333333333333,3.125,2.125,4.0,25.0,8.0,1.0,0.10271834400009539
H8,WikiText-103 test OOD,8,55,26,1,10155122,0.5882352941176471,4.333333333333333,3.3333333333333335,5.333333333333333,18.75,6.0,1.0,0.07477335900057369
H8,WikiText-103 test OOD,8,55,26,2,10255122,0.16923076923076924,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.1332401999998183
H8,WikiText-103 test OOD,8,55,26,3,10355122,0.2459016393442623,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11477690499941673
H8,WikiText-103 test OOD,8,56,26,0,10056122,0.4523809523809524,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.08766376599942305
H8,WikiText-103 test OOD,8,56,26,1,10156122,0.2909090909090909,3.0,2.0,4.0,25.0,8.0,1.0,0.10478617500029941
H8,WikiText-103 test OOD,8,56,26,2,10256122,0.6,4.5,3.5,5.333333333333333,18.75,6.0,1.0,0.07494156000029761
H8,WikiText-103 test OOD,8,56,26,3,10356122,0.4186046511627907,3.5714285714285716,2.5714285714285716,4.571428571428571,21.875,7.0,1.0,0.08831103599914059
H8,WikiText-103 test OOD,8,57,27,0,10057122,0.2631578947368421,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11170001699974819
H8,WikiText-103 test OOD,8,57,27,1,10157122,0.2830188679245283,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.1098655339992547
H8,WikiText-103 test OOD,8,57,27,2,10257122,0.3137254901960784,3.0,2.0,4.0,25.0,8.0,1.0,0.1020895699994071
H8,WikiText-103 test OOD,8,57,27,3,10357122,0.18461538461538463,2.2,1.2,3.2,31.25,10.0,1.0,0.12439734400049929
H8,WikiText-103 test OOD,8,58,27,0,10058122,0.4318181818181818,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.08934634399975039
H8,WikiText-103 test OOD,8,58,27,1,10158122,0.4418604651162791,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.0864964719994532
H8,WikiText-103 test OOD,8,58,27,2,10258122,0.4634146341463415,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.0855873939999583
H8,WikiText-103 test OOD,8,58,27,3,10358122,0.2777777777777778,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.1108017500000642
H8,WikiText-103 test OOD,8,59,27,0,10059122,0.19117647058823528,2.3,1.3,3.2,31.25,10.0,1.0,0.12652421000075265
H8,WikiText-103 test OOD,8,59,27,1,10159122,0.2830188679245283,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.10917260599944711
H8,WikiText-103 test OOD,8,59,27,2,10259122,0.3333333333333333,3.125,2.125,4.0,25.0,8.0,1.0,0.10110672800055909
H8,WikiText-103 test OOD,8,59,27,3,10359122,0.2631578947368421,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11178217799988488
H8,WikiText-103 test OOD,8,60,30,0,10060122,0.11842105263157894,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.14797948700015695
H8,WikiText-103 test OOD,8,60,30,1,10160122,0.5675675675675675,4.5,3.5,5.333333333333333,18.75,6.0,1.0,0.0760654349996912
H8,WikiText-103 test OOD,8,60,30,2,10260122,0.18181818181818182,2.0,1.0909090909090908,2.909090909090909,34.375,11.0,0.9090909090909091,0.13295629799995368
H8,WikiText-103 test OOD,8,60,30,3,10360122,0.18461538461538463,2.2,1.2,3.2,31.25,10.0,1.0,0.1245833990005849
H8,WikiText-103 test OOD,8,61,30,0,10061122,0.3829787234042553,3.5714285714285716,2.5714285714285716,4.571428571428571,21.875,7.0,1.0,0.09196598899961828
H8,WikiText-103 test OOD,8,61,30,1,10161122,0.3269230769230769,3.125,2.125,4.0,25.0,8.0,1.0,0.1004052939997564
H8,WikiText-103 test OOD,8,61,30,2,10261122,0.2459016393442623,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11503178200018738
H8,WikiText-103 test OOD,8,61,30,3,10361122,0.26785714285714285,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11705643599998439
H8,WikiText-103 test OOD,8,62,31,0,10062122,0.18032786885245902,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.1353987109996524
H8,WikiText-103 test OOD,8,62,31,1,10162122,0.1111111111111111,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.1526476270000785
H8,WikiText-103 test OOD,8,62,31,2,10262122,0.26785714285714285,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11399883100057195
H8,WikiText-103 test OOD,8,62,31,3,10362122,0.11842105263157894,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.1498846450003839
H8,WikiText-103 test OOD,8,63,31,0,10063122,0.3541666666666667,3.125,2.125,4.0,25.0,8.0,1.0,0.09957540799950948
H8,WikiText-103 test OOD,8,63,31,1,10163122,0.13333333333333333,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.14239302900023176
H8,WikiText-103 test OOD,8,63,31,2,10263122,0.3541666666666667,3.125,2.125,4.0,25.0,8.0,1.0,0.10086418399987451
H8,WikiText-103 test OOD,8,63,31,3,10363122,0.24561403508771928,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.11558160099957604
H8,WikiText-103 test OOD,8,64,32,0,10064122,0.15384615384615385,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.13652559999991354
H8,WikiText-103 test OOD,8,64,32,1,10164122,0.3333333333333333,3.125,2.125,4.0,25.0,8.0,1.0,0.10431226299988339
H8,WikiText-103 test OOD,8,64,32,2,10264122,0.2,2.3,1.3,3.2,31.25,10.0,1.0,0.12776653800028726
H8,WikiText-103 test OOD,8,64,32,3,10364122,0.30357142857142855,3.125,2.125,4.0,25.0,8.0,1.0,0.10544491100063169
H8,WikiText-103 test OOD,8,65,32,0,10065122,0.11842105263157894,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.15145919499991578
H8,WikiText-103 test OOD,8,65,32,1,10165122,0.2631578947368421,2.5555555555555554,1.6666666666666667,3.5555555555555554,28.125,9.0,0.8888888888888888,0.11586557200007519
H8,WikiText-103 test OOD,8,65,32,2,10265122,0.25862068965517243,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11661824900056672
H8,WikiText-103 test OOD,8,65,32,3,10365122,0.32653061224489793,3.0,2.0,4.0,25.0,8.0,1.0,0.10400626400041801
H8,WikiText-103 test OOD,8,66,32,0,10066122,0.5405405405405406,4.333333333333333,3.3333333333333335,5.333333333333333,18.75,6.0,1.0,0.08059408000008261
H8,WikiText-103 test OOD,8,66,32,1,10166122,0.22413793103448276,2.3,1.3,3.2,31.25,10.0,1.0,0.12448961300015071
H8,WikiText-103 test OOD,8,66,32,2,10266122,0.375,3.5714285714285716,2.5714285714285716,4.571428571428571,21.875,7.0,1.0,0.09605400000054942
H8,WikiText-103 test OOD,8,66,32,3,10366122,0.3617021276595745,3.125,2.125,4.0,25.0,8.0,1.0,0.09941185700063215
H8,WikiText-103 test OOD,8,67,33,0,10067122,0.2641509433962264,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.11073743899942201
