model,domain,gamma,prompt_index,cluster_id,trial_index,position,drafted_rounds,reached_rounds,accepted_tokens
H1,TinyStories validation,2,29,29,1,1,11.0,11.0,11.0
H1,TinyStories validation,2,29,29,1,2,11.0,11.0,11.0
H1,TinyStories validation,2,29,29,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,29,29,2,2,11.0,11.0,9.0
H1,TinyStories validation,2,29,29,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,29,29,3,2,12.0,12.0,9.0
H1,TinyStories validation,2,30,30,0,1,13.0,13.0,13.0
H1,TinyStories validation,2,30,30,0,2,12.0,12.0,7.0
H1,TinyStories validation,2,30,30,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,30,30,1,2,11.0,11.0,9.0
H1,TinyStories validation,2,30,30,2,1,13.0,13.0,13.0
H1,TinyStories validation,2,30,30,2,2,12.0,12.0,7.0
H1,TinyStories validation,2,30,30,3,1,11.0,11.0,11.0
H1,TinyStories validation,2,30,30,3,2,11.0,11.0,10.0
H1,TinyStories validation,2,31,31,0,1,13.0,13.0,13.0
H1,TinyStories validation,2,31,31,0,2,13.0,13.0,7.0
H1,TinyStories validation,2,31,31,1,1,11.0,11.0,11.0
H1,TinyStories validation,2,31,31,1,2,11.0,11.0,10.0
H1,TinyStories validation,2,31,31,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,31,31,2,2,11.0,11.0,9.0
H1,TinyStories validation,2,31,31,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,31,31,3,2,11.0,11.0,9.0
H1,TinyStories validation,2,32,32,0,1,11.0,11.0,11.0
H1,TinyStories validation,2,32,32,0,2,11.0,11.0,10.0
H1,TinyStories validation,2,32,32,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,32,32,1,2,11.0,11.0,9.0
H1,TinyStories validation,2,32,32,2,1,11.0,11.0,11.0
H1,TinyStories validation,2,32,32,2,2,11.0,11.0,11.0
H1,TinyStories validation,2,32,32,3,1,11.0,11.0,11.0
H1,TinyStories validation,2,32,32,3,2,11.0,11.0,11.0
H1,TinyStories validation,2,33,33,0,1,13.0,13.0,13.0
H1,TinyStories validation,2,33,33,0,2,12.0,12.0,7.0
H1,TinyStories validation,2,33,33,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,33,33,1,2,12.0,12.0,9.0
H1,TinyStories validation,2,33,33,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,33,33,2,2,12.0,12.0,9.0
H1,TinyStories validation,2,33,33,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,33,33,3,2,11.0,11.0,9.0
H1,TinyStories validation,2,34,34,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,34,34,0,2,11.0,11.0,9.0
H1,TinyStories validation,2,34,34,1,1,11.0,11.0,11.0
H1,TinyStories validation,2,34,34,1,2,11.0,11.0,10.0
H1,TinyStories validation,2,34,34,2,1,13.0,13.0,13.0
H1,TinyStories validation,2,34,34,2,2,12.0,12.0,7.0
H1,TinyStories validation,2,34,34,3,1,11.0,11.0,11.0
H1,TinyStories validation,2,34,34,3,2,11.0,11.0,10.0
H1,TinyStories validation,2,35,35,0,1,13.0,13.0,13.0
H1,TinyStories validation,2,35,35,0,2,12.0,12.0,7.0
H1,TinyStories validation,2,35,35,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,35,35,1,2,12.0,12.0,9.0
H1,TinyStories validation,2,35,35,2,1,13.0,13.0,13.0
H1,TinyStories validation,2,35,35,2,2,13.0,13.0,7.0
H1,TinyStories validation,2,35,35,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,35,35,3,2,12.0,12.0,9.0
H1,TinyStories validation,2,36,36,0,1,13.0,13.0,13.0
H1,TinyStories validation,2,36,36,0,2,12.0,12.0,7.0
H1,TinyStories validation,2,36,36,1,1,13.0,13.0,13.0
H1,TinyStories validation,2,36,36,1,2,13.0,13.0,7.0
H1,TinyStories validation,2,36,36,2,1,13.0,13.0,13.0
H1,TinyStories validation,2,36,36,2,2,12.0,12.0,7.0
H1,TinyStories validation,2,36,36,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,36,36,3,2,12.0,12.0,9.0
H1,TinyStories validation,2,37,37,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,37,37,0,2,11.0,11.0,9.0
H1,TinyStories validation,2,37,37,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,37,37,1,2,11.0,11.0,9.0
H1,TinyStories validation,2,37,37,2,1,13.0,13.0,13.0
H1,TinyStories validation,2,37,37,2,2,12.0,12.0,7.0
H1,TinyStories validation,2,37,37,3,1,12.0,12.0,11.0
H1,TinyStories validation,2,37,37,3,2,12.0,11.0,9.0
H1,TinyStories validation,2,38,38,0,1,11.0,11.0,11.0
H1,TinyStories validation,2,38,38,0,2,11.0,11.0,11.0
H1,TinyStories validation,2,38,38,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,38,38,1,2,12.0,12.0,9.0
H1,TinyStories validation,2,38,38,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,38,38,2,2,12.0,12.0,9.0
H1,TinyStories validation,2,38,38,3,1,11.0,11.0,11.0
H1,TinyStories validation,2,38,38,3,2,11.0,11.0,10.0
H1,TinyStories validation,2,39,39,0,1,13.0,13.0,13.0
H1,TinyStories validation,2,39,39,0,2,13.0,13.0,7.0
H1,TinyStories validation,2,39,39,1,1,13.0,13.0,13.0
H1,TinyStories validation,2,39,39,1,2,12.0,12.0,7.0
H1,TinyStories validation,2,39,39,2,1,11.0,11.0,11.0
H1,TinyStories validation,2,39,39,2,2,11.0,11.0,10.0
H1,TinyStories validation,2,39,39,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,39,39,3,2,11.0,11.0,9.0
H1,TinyStories validation,2,40,40,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,40,40,0,2,11.0,11.0,9.0
H1,TinyStories validation,2,40,40,1,1,11.0,11.0,11.0
H1,TinyStories validation,2,40,40,1,2,11.0,11.0,10.0
H1,TinyStories validation,2,40,40,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,40,40,2,2,11.0,11.0,9.0
H1,TinyStories validation,2,40,40,3,1,11.0,11.0,11.0
H1,TinyStories validation,2,40,40,3,2,11.0,11.0,10.0
H1,TinyStories validation,2,41,41,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,41,41,0,2,12.0,12.0,8.0
H1,TinyStories validation,2,41,41,1,1,11.0,11.0,11.0
H1,TinyStories validation,2,41,41,1,2,11.0,11.0,10.0
H1,TinyStories validation,2,41,41,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,41,41,2,2,12.0,12.0,8.0
H1,TinyStories validation,2,41,41,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,41,41,3,2,12.0,12.0,9.0
H1,TinyStories validation,2,42,42,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,42,42,0,2,12.0,12.0,9.0
H1,TinyStories validation,2,42,42,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,42,42,1,2,12.0,12.0,8.0
H1,TinyStories validation,2,42,42,2,1,11.0,11.0,11.0
H1,TinyStories validation,2,42,42,2,2,11.0,11.0,10.0
H1,TinyStories validation,2,42,42,3,1,13.0,13.0,13.0
H1,TinyStories validation,2,42,42,3,2,12.0,12.0,7.0
H1,TinyStories validation,2,43,43,0,1,11.0,11.0,11.0
H1,TinyStories validation,2,43,43,0,2,11.0,11.0,10.0
H1,TinyStories validation,2,43,43,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,43,43,1,2,12.0,12.0,9.0
H1,TinyStories validation,2,43,43,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,43,43,2,2,12.0,12.0,8.0
