domain,gamma,cluster_id,prompts_in_cluster,accepted_prefix_improvement,accepted_beyond_first_improvement,acceptance_rate_improvement,emitted_tokens_improvement,verification_round_reduction
TinyStories validation,2,68,1,-0.1895604395604396,-0.19093406593406592,-0.19973776223776224,-0.14652014652014644,-2.34375
TinyStories validation,2,69,1,-0.06060606060606061,-0.06060606060606061,-0.04356060606060605,-0.06060606060606066,-0.78125
TinyStories validation,2,70,1,0.014880952380952384,0.01488095238095237,0.042103729603729614,0.03463203463203457,0.78125
TinyStories validation,2,71,1,-0.15326340326340326,-0.15326340326340326,-0.10795454545454541,-0.17249417249417254,-2.34375
TinyStories validation,2,72,1,-0.08143939393939392,-0.08143939393939395,-0.08143939393939395,-0.06060606060606066,-0.78125
TinyStories validation,2,73,1,-0.03977272727272729,-0.039772727272727265,-0.039772727272727265,-0.06060606060606066,-0.78125
TinyStories validation,2,74,1,0.018939393939393978,0.018939393939393923,0.0018939393939393645,0.06060606060606066,0.78125
TinyStories validation,2,75,1,-0.18371212121212127,-0.1837121212121212,-0.16666666666666663,-0.22377622377622375,-3.125
TinyStories validation,2,76,1,-0.054778554778554756,-0.07400932400932403,-0.05157342657342656,-0.05128205128205121,-0.78125
TinyStories validation,2,77,1,-0.1401515151515152,-0.14015151515151514,-0.12310606060606058,-0.181818181818182,-2.34375
TinyStories validation,2,78,1,-0.09294871794871795,-0.09294871794871795,-0.10999417249417251,-0.05128205128205121,-0.78125
TinyStories validation,2,79,1,-0.14204545454545459,-0.10198135198135197,-0.09076340326340324,-0.16317016317016309,-2.34375
TinyStories validation,2,80,1,-0.1474358974358974,-0.16666666666666669,-0.14423076923076922,-0.16317016317016309,-2.34375
TinyStories validation,2,81,1,0.020833333333333315,0.020833333333333343,0.0378787878787879,0.0,0.0
TinyStories validation,2,82,1,-0.14554195804195802,-0.14554195804195805,-0.1625874125874126,-0.16317016317016309,-2.34375
TinyStories validation,2,83,1,0.11349067599067597,0.09425990675990675,0.0772144522144522,0.11188811188811187,1.5625
TinyStories validation,2,84,1,0.059003496503496566,0.05900349650349648,0.06439393939393939,0.06060606060606066,0.78125
TinyStories validation,2,85,1,-0.01311188811188807,-0.013111888111888126,-0.03598484848484851,0.009324009324009452,0.0
TinyStories validation,2,86,1,-0.12660256410256404,-0.12660256410256412,-0.12121212121212122,-0.10256410256410242,-1.5625
TinyStories validation,2,87,1,-0.0018939393939393367,-0.00189393939393942,-0.035984848484848536,0.06060606060606066,0.78125
TinyStories validation,2,88,1,-0.12150349650349657,-0.12150349650349648,-0.10445804195804193,-0.12121212121212133,-1.5625
TinyStories validation,2,89,1,0.1247086247086247,0.10547785547785546,0.09848484848484848,0.16317016317016309,2.34375
TinyStories validation,2,90,1,-0.1003787878787879,-0.10037878787878787,-0.10037878787878787,-0.12121212121212133,-1.5625
TinyStories validation,2,91,1,-0.17003829503829504,-0.17003829503829504,-0.1461247086247086,-0.2071262071262071,-3.125
TinyStories validation,2,92,1,-0.13243006993006995,-0.13243006993006992,-0.10416666666666663,-0.17249417249417254,-2.34375
TinyStories validation,2,93,1,0.03205128205128205,0.012820512820512803,-0.017045454545454558,0.05128205128205121,0.78125
TinyStories validation,2,94,1,-0.07561188811188807,-0.07561188811188813,-0.09265734265734268,-0.05128205128205121,-0.78125
TinyStories validation,2,95,1,-0.31993006993006995,-0.3199300699300699,-0.2804487179487179,-0.3356643356643356,-4.6875
TinyStories validation,2,96,1,0.07371794871794868,0.09455128205128208,0.06628787878787878,0.05128205128205121,0.78125
TinyStories validation,2,97,1,-0.22887529137529133,-0.2288752913752914,-0.22348484848484848,-0.22377622377622375,-3.125
TinyStories validation,2,98,1,-0.01311188811188807,-0.013111888111888126,-0.007721445221445217,0.009324009324009452,0.0
TinyStories validation,2,99,1,-0.04166666666666663,-0.041666666666666685,-0.05871212121212124,0.0,0.0
TinyStories validation,2,100,1,-0.125,-0.125,-0.17613636363636367,-0.10256410256410242,-1.5625
TinyStories validation,2,101,1,-0.1003787878787879,-0.11960955710955712,-0.09134615384615383,-0.12121212121212133,-1.5625
TinyStories validation,2,102,1,-0.08143939393939392,-0.10227272727272729,-0.13825757575757577,-0.06060606060606066,-0.78125
TinyStories validation,2,103,1,-0.1474358974358974,-0.14743589743589744,-0.164481351981352,-0.16317016317016309,-2.34375
TinyStories validation,2,104,1,-0.09265734265734266,-0.09265734265734266,-0.09265734265734266,-0.11188811188811187,-1.5625
TinyStories validation,2,105,1,-0.08143939393939392,-0.08143939393939395,-0.08143939393939395,-0.06060606060606066,-0.78125
TinyStories validation,2,106,1,-0.07371794871794868,-0.07371794871794873,-0.1035839160839161,-0.05128205128205121,-0.78125
TinyStories validation,2,107,1,-0.23688811188811193,-0.23688811188811187,-0.270979020979021,-0.2144522144522143,-3.125
TinyStories validation,2,108,1,-0.08493589743589741,-0.0657051282051282,-0.08697552447552451,-0.10256410256410242,-1.5625
TinyStories validation,2,109,1,0.020833333333333315,0.0,-0.017045454545454558,0.0,0.0
TinyStories validation,2,110,1,-0.09265734265734266,-0.09265734265734266,-0.08143939393939392,-0.11188811188811187,-1.5625
TinyStories validation,2,111,1,-0.2192599067599067,-0.21925990675990678,-0.24213286713286716,-0.2144522144522143,-3.125
TinyStories validation,2,112,1,-0.09294871794871795,-0.09294871794871795,-0.12121212121212124,-0.05128205128205121,-0.78125
TinyStories validation,2,113,1,0.04166666666666663,0.041666666666666685,0.05871212121212124,0.0,0.0
TinyStories validation,2,114,1,-0.09265734265734266,-0.09265734265734266,-0.06439393939393936,-0.11188811188811187,-1.5625
TinyStories validation,2,115,1,-0.13432400932400934,-0.1343240093240093,-0.11727855477855476,-0.17249417249417254,-2.34375
TinyStories validation,2,116,1,-0.0077214452214452445,-0.007721445221445217,-0.053030303030303066,-0.009324009324009452,0.0
TinyStories validation,2,117,1,-0.09455128205128199,-0.09455128205128208,-0.11742424242424246,-0.05128205128205121,-0.78125
TinyStories validation,2,118,1,-0.13621794871794868,-0.11698717948717949,-0.13403263403263405,-0.11188811188811187,-1.5625
TinyStories validation,2,119,1,-0.09455128205128205,-0.0753205128205128,-0.08114801864801863,-0.09324009324009297,-1.5625
TinyStories validation,2,120,1,-0.0077214452214452445,-0.007721445221445217,-0.03598484848484851,-0.009324009324009452,0.0
