domain,gamma,prompt_index,cluster_id,trial_index,trial_seed,acceptance_rate_pos2plus_H1,mean_accepted_prefix_H1,mean_accepted_beyond_first_H1,emitted_tokens_per_round_H1,rounds_per_100_tokens_H1,verification_rounds_H1,position_1_survival_H1,decode_seconds_H1,acceptance_rate_pos2plus_H8,mean_accepted_prefix_H8,mean_accepted_beyond_first_H8,emitted_tokens_per_round_H8,rounds_per_100_tokens_H8,verification_rounds_H8,position_1_survival_H8,decode_seconds_H8,accepted_prefix_improvement,accepted_beyond_first_improvement,acceptance_rate_improvement,emitted_tokens_improvement,verification_round_reduction
WikiText-103 test OOD,4,33,15,0,10033082,0.5185185185185185,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.09553964299993822,0.43333333333333335,2.3,1.3,3.2,31.25,10.0,1.0,0.10557089800022368,-0.25555555555555554,-0.25555555555555554,-0.08518518518518514,-0.3555555555555552,-3.125
WikiText-103 test OOD,4,33,15,1,10133082,0.4482758620689655,2.3,1.3,3.2,31.25,10.0,1.0,0.10421221500018873,0.625,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09399866300009307,0.3666666666666667,0.3666666666666667,0.17672413793103448,0.3555555555555552,3.125
WikiText-103 test OOD,4,33,15,2,10233082,0.7727272727272727,3.125,2.125,4.0,25.0,8.0,1.0,0.08316245000060007,0.48148148148148145,2.3,1.3,3.2,31.25,10.0,1.0,0.10485616000005393,-0.8250000000000002,-0.825,-0.29124579124579125,-0.7999999999999998,-6.25
WikiText-103 test OOD,4,33,15,3,10333082,0.43333333333333335,2.3,1.3,3.2,31.25,10.0,1.0,0.10591734599984193,0.5384615384615384,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.09719553899958555,0.25555555555555554,0.25555555555555554,0.10512820512820509,0.3555555555555552,3.125
WikiText-103 test OOD,4,34,16,0,10034082,0.41379310344827586,2.2,1.2,3.2,31.25,10.0,1.0,0.1048467670007085,0.23529411764705882,1.6666666666666667,0.6666666666666666,2.6666666666666665,37.5,12.0,1.0,0.12568726600056834,-0.5333333333333334,-0.5333333333333333,-0.17849898580121704,-0.5333333333333337,-6.25
WikiText-103 test OOD,4,34,16,1,10134082,0.5,2.3,1.3,3.2,31.25,10.0,1.0,0.10180033500000718,0.5555555555555556,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09611496200068359,0.3666666666666667,0.3666666666666667,0.05555555555555558,0.3555555555555552,3.125
WikiText-103 test OOD,4,34,16,2,10234082,0.4642857142857143,2.3,1.3,3.2,31.25,10.0,1.0,0.10326553200047783,0.3548387096774194,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.11439551700004813,-0.2999999999999998,-0.30000000000000004,-0.10944700460829493,-0.290909090909091,-3.125
WikiText-103 test OOD,4,34,16,3,10334082,0.7391304347826086,3.125,2.125,4.0,25.0,8.0,1.0,0.0838325659997281,0.48148148148148145,2.3,1.3,3.2,31.25,10.0,1.0,0.1032671749999281,-0.8250000000000002,-0.825,-0.2576489533011272,-0.7999999999999998,-6.25
WikiText-103 test OOD,4,35,16,0,10035082,0.5185185185185185,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.09492150799997034,0.7083333333333334,3.125,2.125,4.0,25.0,8.0,1.0,0.08465457399961451,0.5694444444444446,0.5694444444444444,0.18981481481481488,0.44444444444444464,3.125
WikiText-103 test OOD,4,35,16,1,10135082,0.4,2.2,1.2,3.2,31.25,10.0,1.0,0.10569435399975191,0.3870967741935484,2.0,1.0909090909090908,2.909090909090909,34.375,11.0,0.9090909090909091,0.11318593300075008,-0.20000000000000018,-0.10909090909090913,-0.012903225806451646,-0.290909090909091,-3.125
